LibraryID,Name,Address,Phone
1,South Alisha Public Library,"USS Hammond, FPO AA 12536",318-558-2903x917
2,South Walterfurt Public Library,"PSC 6392, Box 7140, APO AP 78063",(590)450-2435x7147
3,Petersonport Public Library,"49770 Matthew Valleys Apt. 606, Kingtown, AZ 45765",980-077-2662x358
4,Horneville Public Library,"10017 Matthew Squares Suite 674, East Dwayne, NC 35590",332.362.6565
5,New Melissa Public Library,"8516 Nicole Shoal Apt. 166, West Michaelville, NH 86562",728.216.5449x98354
6,Andersonville Public Library,"50512 Jack Prairie Apt. 431, Howellville, MN 52189",001-307-135-6282x316
7,Port Anthonyfurt Public Library,"5752 Hernandez Fall, Port Helentown, NV 25154",(535)647-7185x06717
8,South Curtismouth Public Library,"8467 Jones Islands, Benjaminborough, LA 03485",(095)856-8491x7173
9,North Kathrynborough Public Library,"0923 Brown Roads, North Adamfort, AL 73121",333.889.1623x5535
10,East Jillfurt Public Library,"904 Watson Ferry, Larsonhaven, CT 51946",930-179-2348x383
11,Johnnybury Public Library,"259 Lori Forest Suite 711, New Alejandroside, DC 04317",(656)884-1433x199
12,Matthewtown Public Library,"04241 Alyssa Path, Sarashire, SC 60583",(053)839-0521
13,East Toddmouth Public Library,"6354 Raymond Underpass, Brandiview, IN 80546",001-658-953-9370x1533
14,Brewerfort Public Library,"PSC 8702, Box 6584, APO AP 93173",(541)011-8753x3043
15,Denisemouth Public Library,"8461 Thomas Loaf, Robinchester, NC 28409",001-698-466-2952x7200
16,Nicholsonmouth Public Library,"794 Mcdonald Lodge, New Tonya, NM 93944",750-987-6702
17,Nathanhaven Public Library,"917 Morgan View Suite 543, West Kenneth, KY 65706",978-213-1565
18,New Shelbyborough Public Library,"0826 Gregory Highway Suite 708, Lake Nicholas, IA 16529",001-841-133-0420x7130
19,Holmesstad Public Library,"Unit 4300 Box 0878, DPO AE 65622",488-417-7430
20,South Michael Public Library,"97214 Rodriguez Knoll, West Julian, IN 62796",001-323-183-0145x4573
21,West Zacharyland Public Library,"18205 Shaw Green Suite 084, West Dianestad, NC 06308",223-429-0244x35254
22,Kristaberg Public Library,"183 Todd Springs, Smithmouth, LA 80762",486-522-6036
23,Smithbury Public Library,"239 William Villages Apt. 331, Lake Steven, KY 06401",001-114-850-8094x139
24,Port Mary Public Library,"03347 Jones Trail, Whiteton, NY 34647",001-854-438-2357x08081
25,New Paige Public Library,"7417 Mahoney Mall, Scottmouth, FL 37736",596.183.1735x1690
26,Stevensonfurt Public Library,"90503 Katherine Centers Apt. 085, Woodsville, IL 19900",+1-089-648-9444
27,West Donport Public Library,"909 William Lodge Apt. 560, West Christine, AL 26722",172.683.1382x1358
28,Jamiestad Public Library,"Unit 8706 Box 1127, DPO AA 66860",+1-811-743-7172x21835
29,Markhaven Public Library,"9847 James Plaza Apt. 044, South James, NJ 65369",001-253-510-1317
30,Hartfurt Public Library,"8883 Thompson Union, North Stacy, VA 32668",601-060-0501x0293
31,North Michelleport Public Library,"51390 Herbert Route Suite 228, West Philip, IN 00648",6602382104
